n,t
543,975
523,950
380,549
10,17
157,259
543,1014
1000,1986
443,814
366,603
508,892
268,455
366,656
828,1218
410,616
912,1842
1000,2024
380,515
495,806
397,528
283,491
579,827
30,45
410,764
157,237
410,683
135,200
366,639
443,765
933,1741
10,19
933,1804
56,77
380,712
837,1554
579,892
367,543
933,1902
508,771
523,710
579,803
828,1571
397,606
410,738
495,695
40,58
837,1476
431,797
523,1017
508,1005
495,811
283,499
30,46
263,372
263,359
385,667
431,607
362,546
385,507
281,460
283,518
767,1298
508,953
543,1048
380,603
263,354
283,499
366,519
1000,2007
443,761
268,467
56,98
933,1846
767,1544
30,53
770,1278
385,508
