n,t
280,26003
439,57982
229,19913
239,18216
474,70171
229,17826
86,4104
352,39135
424,64553
837,184817
1000,216327
474,73973
474,64312
464,57310
535,86990
624,98486
152,10287
411,51036
411,59091
18,318
695,98631
261,20215
909,178518
143,9770
86,4723
535,79371
697,115471
86,4099
411,56400
261,26504
86,4716
822,145192
280,25253
464,53881
239,24779
545,89620
418,58034
364,46787
66,3125
545,85275
143,8812
535,76453
261,20206
364,45290
439,55577
545,86385
740,120286
229,24032
909,214332
624,107806
411,50182
624,85463
352,42202
10,153
747,114312
261,21459
822,180749
352,34315
545,85993
229,18438
143,8208
364,43407
474,64832
480,60687
695,113093
480,62209
697,131547
424,57125
239,25330
364,48281
381,40178
624,95634
837,146487
464,72956
464,50065
418,50504
439,51095
352,42477
49,1493
280,25383
418,45284
822,182107
418,49463
