n,t
333,45716
776,187732
90,7194
694,193816
493,113467
776,194794
331,59583
333,58224
632,181627
872,304878
1000,313633
493,119119
207,23480
725,184903
207,25972
689,154988
632,127198
90,6946
197,25272
263,37323
207,21493
84,6139
918,307060
331,44158
472,92663
929,274247
298,43531
10,204
112,10279
39,1887
331,45164
298,42616
112,10891
333,51179
776,237731
159,18381
10,184
632,131704
410,86949
760,183169
694,193294
112,9646
472,107042
206,21336
10,183
453,96621
20,505
492,111360
694,159027
90,5365
494,110893
263,39538
473,112451
1000,259269
1000,386402
453,104106
776,245535
494,117011
453,96517
90,7344
929,261956
473,88375
929,266180
472,86930
298,39031
493,82652
494,120518
472,87225
20,507
731,163541
492,112441
263,31462
20,492
929,239383
473,78235
331,53902
10,197
689,196956
1000,351288
453,78831
731,176552
39,1946
