n,t
258,162
58,43
141,71
646,328
137,83
560,248
851,305
946,411
328,150
22,22
22,20
417,193
611,272
10,9
758,354
611,318
10,8
784,275
99,76
58,44
10,8
1000,439
560,236
851,349
560,244
391,219
924,369
252,141
857,378
334,137
391,197
180,109
141,70
924,360
209,107
137,87
328,148
328,145
784,373
37,32
328,135
99,61
37,25
880,334
252,152
464,224
209,130
560,206
37,33
162,86
137,93
646,267
141,82
857,311
924,417
857,300
758,303
37,25
611,285
464,254
472,240
137,71
37,30
646,264
464,191
646,323
784,274
141,78
187,102
334,176
758,267
758,299
391,208
99,55
252,147
784,273
1000,342
924,405
10,8
209,133
472,246
857,397
880,371
851,373
30,21
464,197
99,69
37,25
