n,t
163,81005
443,384058
399,329013
788,1085810
118,43611
107,28217
464,500364
10,320
261,165289
761,1036023
731,954296
761,1409010
720,1156317
53,8720
694,969619
354,259231
464,389432
591,798945
464,512520
464,515201
731,1256978
1000,1692002
354,322865
717,1257305
16,706
354,310839
252,128320
118,35001
71,13169
694,1161677
98,22631
399,310221
761,1263640
642,961667
235,117839
717,1291449
837,1629325
720,1041302
261,158380
203,108956
53,7637
203,88696
421,480341
71,15522
203,112828
837,1699525
443,519917
544,534918
339,247234
299,228908
354,292155
10,397
339,279502
642,967513
312,206606
16,838
235,138724
399,325347
720,902807
278,212064
788,1145739
98,22204
16,889
731,1247020
421,409638
312,227887
694,1126859
421,334495
443,409331
71,16509
399,403172
98,29628
107,32884
16,995
788,1141285
421,460090
788,1260050
731,1203054
443,475661
203,113901
235,140810
339,285351
