n,t
220,11526
107,4850
277,21443
385,30476
385,38413
499,55992
333,27528
845,108511
845,126113
10,79
534,55226
741,93194
264,17941
246,16855
336,23133
382,32784
296,24377
865,101022
277,21269
311,25133
890,110759
336,29257
107,4037
465,47641
164,7993
382,35993
499,54525
220,12015
865,126360
658,89229
382,37624
164,6584
499,50252
409,41405
21,245
1000,161279
845,107272
246,17242
890,131481
741,75273
695,83936
382,33032
21,324
741,75538
385,36582
399,28290
530,60578
925,128415
658,84370
311,22910
499,48281
333,26794
925,155241
695,76472
246,14690
10,95
455,41268
455,41993
336,26738
741,105295
465,37212
333,28983
181,11249
246,14347
865,104321
398,28705
658,78776
336,21618
530,51941
398,37506
409,34033
399,39167
899,118461
890,140282
21,231
530,60547
277,15319
695,91881
21,333
277,17359
264,18318
164,7657
865,114789
