n,t
304,691
560,1269
555,1316
148,376
10,40
148,384
290,555
1000,2205
106,292
540,983
101,273
523,961
89,196
285,636
699,1444
480,991
782,1266
56,122
89,179
125,316
318,618
1000,1702
125,345
762,1526
555,1310
49,121
560,1131
318,681
782,1627
488,1146
125,265
148,372
253,497
762,1744
1000,1798
699,1566
560,1008
49,113
234,610
404,849
10,36
304,654
106,282
106,243
304,632
480,892
80,198
488,838
555,1314
285,495
901,1675
62,130
148,367
580,1212
290,577
488,888
1000,2223
304,700
253,663
49,114
418,968
253,636
49,115
782,1440
699,1198
80,185
821,1861
106,243
418,1035
540,954
253,609
148,405
