n,t
549,10744
225,3668
275,4962
103,1379
202,3273
275,3844
234,3978
287,5732
645,13122
931,22784
711,14523
538,11087
459,10816
851,25399
402,9268
711,17085
10,43
103,1031
404,8085
382,7094
34,275
17,111
936,27225
851,23238
645,16706
420,7675
645,12158
275,4231
234,3866
851,24974
592,15060
1000,29370
337,5992
103,1204
103,1322
34,306
274,5452
404,8684
477,8887
275,4318
17,87
549,10953
936,25999
420,8734
711,17245
274,3940
50,532
1000,22085
850,25076
292,5147
936,22869
132,1924
420,9683
477,10150
1000,29887
34,292
645,14317
404,7093
821,17632
225,3155
549,11292
292,5437
549,11203
274,4720
821,17197
420,8613
132,1796
936,19671
850,22927
711,17458
592,13679
592,11670
592,14285
82,974
34,321
382,8361
402,6886
404,9153
10,52
