n,t
420,661
223,456
818,1045
81,162
174,316
221,464
609,1001
602,746
605,885
81,151
234,423
590,843
268,492
10,38
566,820
32,102
928,1208
234,409
250,420
458,707
1000,1601
566,682
391,600
221,403
93,217
818,917
780,1066
34,110
174,319
134,243
234,435
458,632
817,1221
130,276
268,470
32,96
81,157
34,79
104,216
928,1248
780,1180
81,184
602,715
676,883
223,434
609,1029
74,156
391,603
458,789
676,1009
184,387
74,179
817,1319
174,282
250,464
458,765
1000,1279
93,206
818,1249
1000,1454
104,207
34,81
104,252
676,1088
34,94
268,466
250,392
171,289
268,414
928,1213
223,323
817,1334
928,1095
134,278
234,437
74,135
818,1358
134,307
1000,1423
676,918
223,353
391,715
780,1187
221,450
780,1215
343,483
590,729
