n,t
321,6705
508,15330
296,6389
68,738
467,12171
183,3002
208,4766
49,592
432,11902
641,15663
68,704
106,1852
45,411
490,12629
508,13589
203,3885
321,7120
490,11834
691,22149
183,3580
345,7356
10,60
828,29952
203,4013
695,16808
183,3801
641,17715
223,4060
749,27313
45,579
208,3811
467,12318
49,545
203,3294
599,13827
10,75
296,6702
432,10256
445,12652
111,1835
208,3559
508,13163
111,1935
10,75
271,6548
208,3715
223,4642
445,11876
68,879
575,19412
13,109
779,27215
445,11783
296,7500
779,20704
1000,40400
112,1858
467,11126
111,1430
10,65
609,14736
432,9784
828,21538
183,3325
641,15461
321,6106
203,4258
828,29577
68,750
111,2020
691,21221
609,15624
1000,30950
641,18562
