n,t
375,339
250,228
334,366
334,246
789,572
565,401
616,542
109,131
128,146
510,411
164,160
510,364
609,411
341,365
734,470
789,649
90,113
266,230
135,180
256,225
616,496
248,280
47,76
334,311
789,545
899,635
256,219
899,694
837,570
109,161
196,180
109,118
510,420
693,548
126,158
248,255
47,70
616,502
1000,791
334,303
248,283
126,150
609,452
470,392
1000,669
164,169
126,149
135,176
1000,692
247,203
135,147
250,263
565,498
217,244
47,78
266,275
375,371
609,434
1000,617
90,113
565,483
565,391
10,25
789,677
837,517
693,550
734,514
10,20
126,158
247,205
837,474
341,348
734,626
510,422
837,616
90,101
565,385
247,216
248,219
47,85
468,410
616,439
899,550
241,278
