n,t
307,30196
31,795
148,9293
31,693
137,7449
771,95061
186,10896
680,73332
373,41029
358,37587
704,82133
141,9289
137,7467
583,72367
409,41299
556,64459
1000,123151
307,28914
299,26694
647,69703
136,7791
424,50397
141,8054
744,95285
560,66197
358,28802
744,106440
534,51033
330,30230
556,58424
136,7616
235,15735
139,6631
704,82203
141,7908
307,23002
534,61034
647,66472
373,31788
771,89421
771,94227
144,8720
647,87758
217,13331
29,884
299,29149
235,16976
235,14342
680,69059
556,62522
744,114517
148,7488
141,7294
217,17675
350,36168
373,30776
186,10795
217,14393
144,9965
29,642
144,9396
373,35448
144,8188
350,27500
697,100215
556,63384
136,7137
148,9742
474,45409
217,15627
235,19632
704,99214
424,43581
358,36688
744,105447
771,101366
10,147
358,26375
647,68527
