n,t
122,654
328,1810
214,1315
85,362
223,1413
463,2793
137,591
99,554
396,2387
823,5672
602,3992
805,4108
823,5153
365,1769
160,759
214,1017
328,1810
396,2666
740,5058
560,3889
137,667
1000,7553
463,2275
52,231
463,2343
396,2601
559,2725
223,1371
740,4448
877,4909
559,2892
328,1816
233,1125
740,3873
463,2679
52,269
348,1912
740,5475
214,1253
144,702
363,2164
52,237
244,1396
122,642
560,3218
122,659
560,3149
160,715
877,5500
233,1569
10,39
348,2384
85,481
233,1334
1000,6568
777,4388
363,2342
805,4302
99,482
877,6364
1000,6035
99,416
90,527
144,732
328,1544
365,2280
365,2131
63,334
160,733
877,5995
857,4930
365,2104
137,862
90,501
396,2412
233,1196
1000,6143
559,3073
144,806
85,497
52,215
924,6520
223,1085
