n,t
456,21721
589,38291
885,64259
167,6323
354,17251
252,12485
885,58078
1000,68674
252,11425
657,38716
632,32030
147,5381
848,52049
330,14028
507,28697
823,60922
466,25879
57,1302
242,10930
178,6573
507,24206
1000,81832
369,18955
729,46242
354,17998
186,7398
270,11577
167,5080
397,20687
390,15674
456,27444
885,66490
252,10343
330,16560
147,5452
397,16048
147,4262
370,21222
170,6401
589,28438
57,1116
456,26825
632,42950
354,17612
16,264
589,38783
390,22803
187,5584
10,123
178,7516
503,29558
397,20752
589,40780
1000,68143
170,6537
397,22878
314,16419
1000,80993
390,22692
729,43148
370,19320
314,14295
503,30653
729,42935
466,26900
252,9330
242,10557
57,1375
675,34944
456,27806
330,17685
10,99
