n,t
547,869382
666,1047241
376,414221
532,806937
644,1116434
217,128751
644,952438
613,1163015
644,1144111
10,455
349,410520
221,144014
485,714733
485,700282
613,1131176
217,137350
547,873148
511,682417
712,1357988
349,367466
511,624268
547,787554
61,11641
157,61223
103,30826
61,14379
102,28415
372,402150
376,449715
847,2273285
64,15714
349,386540
644,929864
613,1165604
10,335
372,405574
644,1154819
157,85508
613,971295
532,716241
95,26308
95,28958
103,28436
532,908862
376,453320
157,84871
102,30172
462,497495
221,171990
480,712629
157,75097
372,400678
64,12164
499,562994
644,956487
64,12146
847,1663553
102,34754
10,381
547,677564
349,304631
61,12252
462,659836
436,480311
532,682491
103,30187
268,220918
103,37020
847,1966258
803,1891313
712,1500797
485,664845
102,33862
1000,2927463
644,1133008
10,413
485,580246
478,687753
64,14108
499,796110
297,208115
372,474416
495,608889
61,12413
