n,t
440,392
10,23
163,173
674,474
906,605
906,582
145,184
602,428
611,483
407,402
707,481
145,158
1000,797
933,675
130,160
391,381
118,149
602,410
57,80
906,701
372,341
391,321
329,345
457,403
175,176
391,329
449,341
171,167
175,176
186,230
449,450
933,780
1000,702
674,472
707,535
174,187
449,383
175,162
674,592
407,416
10,17
163,185
118,134
171,223
622,415
391,299
933,626
602,521
372,364
407,391
494,361
1000,681
118,144
130,137
658,619
707,607
156,182
174,205
611,514
329,348
906,680
130,162
602,455
449,434
174,208
156,166
130,175
407,321
745,627
1000,756
759,528
372,365
611,461
156,157
163,221
745,619
171,213
209,212
658,555
174,203
611,419
674,630
329,255
933,701
163,212
707,585
759,694
57,77
