n,t
192,5829
138,3485
904,82086
1000,80364
821,76926
821,68434
289,11439
1000,85370
909,70646
909,81020
545,33939
656,43550
363,21389
156,5502
670,58345
670,50674
1000,75595
363,17614
363,19194
656,48777
106,3119
375,22970
545,34747
435,20391
281,12370
435,27830
70,1726
670,41803
70,1574
192,6804
199,8761
449,26638
427,19515
904,79287
909,77355
811,62405
289,10684
904,78571
113,3158
240,8838
113,3688
449,31420
716,62112
821,77615
73,1560
52,1083
437,25079
435,20510
192,8453
375,21756
106,2883
363,18507
113,2507
881,66293
459,32299
113,2655
392,20364
715,63065
240,8301
881,65124
73,1614
449,28581
10,79
392,19445
281,12514
73,1671
52,1062
904,90454
821,61202
881,65582
70,1213
656,55440
715,63113
392,23179
73,1713
289,13624
289,10900
670,40927
375,18504
281,11084
