n,t
197,2919
197,3105
300,5770
551,13941
12,56
186,3020
717,16427
759,16162
176,3038
846,21271
330,5348
116,1582
717,16737
142,2053
83,761
49,530
83,861
465,9268
458,9622
370,7043
370,5916
330,6646
928,27900
739,16415
300,4956
49,467
471,8406
739,19311
186,2310
206,2952
115,1178
248,3571
702,17311
300,5021
702,17129
465,9619
12,75
370,8870
99,1165
471,10033
759,17752
99,995
1000,25293
83,1097
571,14295
248,4566
702,21378
142,2042
471,8945
83,753
846,18921
142,1652
1000,23618
176,2514
802,24049
1000,23262
176,2592
465,8455
194,3126
1000,31148
12,74
116,1459
116,1366
551,13802
458,10166
928,26838
458,10051
702,18665
12,55
458,8628
928,23572
739,20862
197,3435
928,27547
22,134
551,11509
330,5067
186,2614
938,29262
759,21274
115,1264
465,10334
938,28137
471,11920
142,1637
49,414
115,1389
10,47
