n,t
751,2232
110,268
73,165
592,1603
751,2142
384,1117
244,695
316,770
110,210
573,1601
676,2286
80,185
128,297
502,1107
384,972
427,919
251,560
179,411
244,717
266,713
191,383
209,414
80,168
139,350
676,1597
209,596
110,283
316,683
643,1791
179,376
291,809
676,1693
251,565
10,10
266,777
147,329
704,1680
266,634
207,522
110,194
191,381
427,1101
10,10
573,1683
751,1763
861,2597
861,2880
128,328
384,952
573,1569
217,462
814,2739
209,433
244,704
489,1240
502,1398
217,570
1000,3370
861,2317
73,128
128,290
528,1190
217,519
179,504
207,506
861,2678
251,580
80,152
139,261
10,10
814,1902
592,1386
80,150
573,1464
384,887
704,2013
316,649
307,668
502,1467
751,2132
704,2229
251,585
209,405
489,1504
