n,t
860,7807
193,893
864,8667
431,3199
27,33
10,1
551,4451
402,2674
276,1467
120,396
119,344
1000,9867
472,3602
403,2934
472,3650
403,2015
305,1702
516,3795
27,37
12,1
10,1
551,3445
533,3597
332,1790
27,29
860,6575
24,26
346,1957
10,1
562,4468
346,1686
533,3350
276,1533
524,3145
864,6845
431,2472
419,2598
777,7117
120,342
119,437
472,3400
524,4325
777,7275
346,1618
213,966
530,3355
687,5271
777,6833
24,23
32,44
332,1599
315,1811
32,47
276,1632
120,456
524,4345
777,6818
431,2840
396,2548
687,5703
403,2910
551,3336
12,1
32,43
276,1599
516,3831
396,2706
193,745
530,3319
315,1585
213,812
213,1013
213,1074
32,49
24,22
193,876
533,4088
431,2210
332,1615
524,3049
119,342
390,1974
305,1453
