n,t
463,8507
287,4983
79,1021
339,5260
202,3152
101,1208
183,2313
846,20400
445,6769
79,844
662,10595
247,3874
144,1708
144,2455
247,4217
101,1385
409,7150
183,2227
463,6768
10,87
1000,18104
28,342
463,8046
734,16734
540,10480
765,15360
339,6364
765,14364
199,3339
734,13563
10,82
512,11357
540,11915
540,11940
507,11126
1000,17663
144,2487
199,3339
363,5567
488,8073
161,2151
202,3319
65,845
65,940
1000,20511
846,15179
101,1138
765,16806
144,2469
512,8146
755,15738
445,9147
79,831
463,8608
846,17579
916,21359
287,5414
10,80
101,1325
467,9185
247,4027
907,18717
287,4847
10,67
131,1986
765,14183
202,3618
344,5527
247,3722
28,281
734,15830
734,13506
161,2576
