n,t
170,347
228,364
787,1252
552,953
286,555
315,476
154,307
478,982
91,206
286,614
170,298
297,628
433,723
934,1506
381,685
933,1652
10,20
91,193
297,555
718,1458
280,429
170,376
718,1505
453,902
286,503
297,527
1000,1708
10,18
340,603
107,213
15,34
15,26
228,367
552,1000
811,1552
228,455
934,1523
683,1167
552,959
280,461
816,1256
340,523
91,167
19,33
381,593
787,1428
297,584
1000,1425
108,234
433,917
433,928
787,1236
381,720
817,1694
15,28
286,451
340,625
280,579
228,453
767,1425
934,1662
91,169
108,244
170,287
498,928
787,1554
767,1642
381,723
433,699
154,270
1000,1555
340,667
360,618
340,522
15,28
107,199
10,16
1000,1417
