n,t
204,564
419,1404
585,1565
873,2180
71,291
354,917
91,268
238,637
627,2104
759,1917
585,1489
163,635
71,285
661,1819
1000,3197
311,1025
387,1161
661,1893
548,1457
136,362
17,75
178,505
17,61
91,289
661,2329
354,1253
548,2020
152,477
204,717
827,3025
31,126
17,75
491,1295
304,922
354,1215
873,2864
152,559
627,2203
419,1122
759,2220
548,1661
71,198
304,837
661,1889
873,2510
31,92
441,1412
827,2834
423,1433
627,1730
491,1463
702,2113
441,1332
759,2390
163,488
423,1229
152,598
354,1206
10,40
204,576
1000,3036
152,542
759,2627
827,2981
311,1019
702,2008
238,753
31,118
136,372
204,578
873,2505
91,343
513,1800
386,1017
136,506
302,812
71,198
10,45
585,2152
776,2036
776,2442
178,500
548,1995
10,46
17,67
441,1586
387,1289
423,1095
1000,2969
585,2150
238,655
