n,t
507,22796
725,42015
429,17659
289,11675
196,5330
183,5125
289,10662
10,69
271,10985
364,16299
183,6185
347,13419
725,37695
721,32941
382,16118
289,9067
1000,61481
399,18485
271,8502
10,60
117,2588
364,11753
737,38701
737,34266
196,4799
725,42396
188,4499
460,20950
507,24609
96,2124
429,19505
737,45178
745,43011
364,12102
745,40756
1000,74507
905,64045
901,61650
635,38815
905,60041
746,46544
635,32148
212,5889
204,5168
594,24250
212,6104
10,73
240,8915
402,15482
419,19438
10,64
13,96
289,9323
635,27652
721,41013
721,46484
188,6298
460,21330
721,41019
594,33757
382,17698
745,39539
1000,68604
183,5762
204,6371
460,18960
271,9456
1000,68084
347,13396
382,17840
905,63710
460,22197
399,15152
737,49032
117,2162
429,20354
429,14855
116,3140
507,21399
725,42279
117,2761
594,34802
