n,t
581,38
544,42
161,19
390,39
409,34
161,21
112,17
581,44
370,34
390,32
1000,58
789,50
271,28
561,40
216,25
812,47
716,56
652,39
161,16
216,27
716,56
61,11
652,45
544,49
10,0
812,44
168,23
322,34
716,57
68,11
61,10
409,42
812,55
1000,48
287,32
168,20
561,50
402,40
666,42
660,56
322,32
660,53
561,43
61,10
187,23
287,25
117,14
271,27
117,14
869,45
337,29
789,56
660,40
187,21
581,45
117,13
216,20
812,60
716,54
187,18
296,27
122,18
652,46
187,24
561,44
789,44
1000,52
214,24
581,36
168,20
114,18
1000,72
117,17
61,11
660,51
112,18
652,56
