n,t
279,67741
518,187959
283,73766
193,26865
612,214623
1000,453424
696,242084
406,121261
10,256
385,105057
210,30615
387,124390
859,379217
72,5873
193,32266
807,422375
191,29151
72,5752
10,260
191,30122
385,108890
214,32694
385,116918
64,4850
924,472472
807,414592
166,29917
403,111319
618,246219
211,36676
10,208
10,202
1000,480975
793,342111
696,325095
191,36087
22,963
1000,471472
214,40671
518,200046
859,488708
160,26150
1000,631497
877,421159
406,104239
618,271068
877,424916
618,203347
22,718
387,104204
793,348668
191,27318
696,343868
339,92727
439,130445
385,101229
166,24394
214,43084
296,80055
877,393107
160,25831
924,483416
339,74935
210,33999
743,363490
22,904
339,82412
339,77705
190,34384
