n,t
1000,67
808,55
598,41
207,28
729,62
308,37
354,35
677,53
831,58
729,52
831,53
831,60
321,35
174,20
174,28
1000,70
1000,59
279,36
382,36
770,67
382,41
789,55
174,23
279,33
598,59
391,34
238,25
338,33
831,68
425,35
789,54
133,19
217,31
749,47
10,5
259,32
279,29
539,45
338,39
598,54
539,52
133,22
279,29
382,32
10,5
354,42
808,56
425,34
207,24
321,37
677,53
277,33
833,56
456,41
371,37
354,33
729,56
308,36
217,28
66,13
122,22
207,28
354,36
207,32
789,69
808,69
10,5
174,27
833,58
808,50
833,68
122,17
238,24
1000,66
260,26
770,52
260,37
