n,t
708,31866
26,282
738,36369
287,9598
608,25190
86,1360
445,15327
445,18268
442,14309
495,16249
97,1801
43,624
488,20721
33,322
495,15596
708,36448
738,36370
43,534
43,579
445,14440
444,14397
43,587
265,6463
495,17495
338,12745
406,14511
747,39755
608,25636
10,62
708,33366
444,15845
118,2566
717,36172
88,1270
841,43279
406,15264
896,49762
497,22151
406,12018
747,32332
608,21138
497,15272
174,3897
717,29193
499,20347
1000,54580
739,29897
708,24999
88,1401
26,282
717,31515
338,9141
796,41378
499,20897
442,16247
896,44250
10,76
10,79
444,14759
628,30174
497,19604
444,12973
377,12539
88,1225
442,16845
174,4030
495,15414
499,16708
841,35348
1000,42072
497,16253
118,2625
10,67
88,1270
747,27640
717,36132
86,1565
608,24194
265,6067
118,2525
896,41494
738,37369
174,3971
499,17815
338,11019
841,44770
