n,t
259,5212
1000,29691
403,8795
490,11246
948,30476
779,18527
365,7839
28,210
28,245
348,6889
348,6201
132,1851
165,2287
182,3295
493,13087
419,8172
28,215
488,12790
805,23416
703,19969
882,28063
570,14683
377,7303
570,14419
66,877
10,53
797,20774
779,16542
948,24839
797,22450
948,31317
882,23691
118,1729
327,7496
182,2578
593,11538
797,21619
1000,24583
28,232
327,5840
570,14837
66,755
10,51
293,5456
132,1814
683,14571
259,5534
96,1054
797,20577
377,7683
403,9766
805,17245
118,1523
348,5988
118,1579
488,12987
132,1933
779,17857
882,28634
593,15712
779,23273
165,2816
118,1414
132,2072
377,7828
96,1243
377,7493
165,2604
481,11537
180,2870
348,5656
803,25146
