n,t
207,27502
98,9375
176,21896
625,224771
10,169
625,229067
125,13058
75,6630
891,399639
98,9444
10,170
618,224199
161,18321
198,23566
76,7025
223,34872
10,206
253,37169
125,11168
89,7440
274,49813
75,5801
125,12709
448,129091
625,200972
487,122769
98,10717
618,183031
84,7266
482,153941
98,10103
489,139264
729,250723
207,34460
489,153607
863,365595
618,183522
75,5800
368,96929
89,8844
66,5492
207,30119
1000,435090
84,7228
720,280085
198,34064
89,6443
368,67966
625,226711
125,11625
891,338571
89,8375
496,159769
66,4511
1000,432547
198,26516
198,32106
618,207247
75,6675
368,94156
683,198242
766,265872
76,5553
607,181008
66,3971
863,400178
66,3970
448,115971
728,241350
84,6089
607,207053
766,264636
10,187
368,93114
