n,t
735,87794
360,34568
194,9134
875,127721
894,130131
896,135791
582,51698
261,15019
280,20467
582,65600
57,1341
10,79
582,54397
57,1468
194,12441
261,15295
144,6345
896,110339
735,73863
547,54547
256,19826
778,87932
73,1981
176,10740
144,7175
334,23480
875,107751
896,120757
256,18749
144,7780
417,43560
176,10169
403,40333
403,39282
382,37373
280,23758
103,3678
144,7010
615,66479
57,1697
875,130422
103,4302
192,9774
615,81378
182,11422
488,52366
10,108
896,102896
135,5239
182,11059
109,4327
547,57784
322,28538
875,109749
788,109109
360,34781
403,28345
280,17408
256,20572
382,38526
894,144312
735,100067
778,114001
788,103054
417,32438
10,98
261,19697
778,91027
582,66168
176,9831
73,2540
182,9480
256,17247
788,120506
360,31271
103,4027
786,95813
778,89284
1000,154447
73,2774
57,1845
103,3901
182,8951
360,32871
488,47767
417,39061
