n,t
794,150
414,98
459,139
459,119
40,35
347,101
468,104
532,126
123,66
132,75
10,17
1000,171
424,134
794,171
49,36
424,145
132,74
599,132
70,54
40,31
123,72
794,184
364,134
802,134
599,163
132,58
454,127
10,15
311,93
867,159
197,74
132,73
420,134
892,191
420,128
347,117
468,135
1000,170
555,153
197,90
70,56
424,113
49,46
249,102
27,30
867,201
70,51
867,194
414,106
75,51
683,165
420,111
414,105
123,71
249,102
532,144
197,69
70,56
49,43
86,51
364,90
424,129
892,142
197,80
555,152
594,161
27,25
384,94
123,77
781,192
311,112
781,175
683,166
892,187
364,94
