n,t
543,1507
368,1018
223,816
95,310
344,938
929,2743
37,167
1000,2532
457,1341
622,1644
1000,2727
474,1264
406,1207
107,378
643,2113
603,1783
326,973
719,2027
368,1111
713,2426
244,882
114,392
935,2804
10,47
223,680
474,1475
359,893
344,884
457,1464
10,37
622,2159
326,877
935,2317
719,2103
406,1471
112,409
344,1205
223,861
719,1733
713,2395
622,1708
474,1404
344,1066
615,1741
622,1923
322,1049
244,641
107,313
244,886
496,1769
474,1276
114,429
282,980
55,168
457,1225
935,2718
543,1651
246,926
322,923
368,1106
223,665
575,1979
10,41
368,1265
55,246
326,860
322,1039
114,460
246,918
246,774
496,1550
929,2733
929,2346
282,731
107,397
929,2329
603,1564
615,1832
37,160
406,1461
37,151
457,1201
719,2357
713,1772
272,698
37,135
