n,t
156,840
535,5147
289,1973
535,5010
10,38
444,3142
148,764
787,6599
258,1623
497,3962
611,4633
495,3599
167,1224
744,5927
787,5961
584,4479
319,1995
198,1136
258,1471
148,902
495,3682
444,3495
531,5053
353,2278
167,1121
148,939
453,4080
744,7281
817,6047
50,273
936,7137
405,2653
744,7466
936,10076
148,883
289,2342
291,2542
1000,10912
444,2887
611,4686
207,1338
398,3648
10,43
198,1250
291,1738
1000,9465
453,3066
787,6526
495,4755
258,1856
535,4148
405,2982
557,4150
817,6827
10,44
319,2610
444,3940
10,41
495,3960
535,3628
397,3372
167,1187
167,952
582,5776
264,2137
405,3778
207,1592
787,7352
497,3722
289,2040
744,5493
156,889
353,2539
584,4124
258,1805
817,6344
358,2713
198,1537
531,3672
319,2531
398,2894
817,8125
198,1335
