n,t
261,208155
470,471168
931,2004071
573,897402
177,100737
812,1627524
177,99767
333,288708
215,129795
14,611
799,1599982
104,31182
541,821746
573,971460
215,130728
261,181568
216,142603
67,13629
942,2325754
75,19095
32,3189
14,722
333,335510
67,15069
104,29031
216,106115
325,269340
1000,2691452
697,1034208
1000,2279857
934,2044486
931,2035765
685,1055325
146,70135
799,1749321
146,62074
216,150562
931,1711477
337,343933
799,1865409
697,1280337
573,798843
17,859
187,94551
812,1558960
1000,2165360
366,362723
17,1099
75,15572
333,261737
215,137700
333,330274
17,853
325,278912
32,3121
934,2171578
934,2221834
1000,2274885
187,95104
931,1759157
934,1749616
14,621
215,149440
942,2170014
10,387
366,348779
366,384406
146,50633
81,20142
362,361196
46,7287
325,237166
261,190067
32,2797
799,1365163
812,1788671
815,1802131
366,286940
573,676937
75,19571
46,6839
697,1065882
942,2267071
815,1619257
261,190087
470,558822
942,2525384
697,1401489
187,84602
187,115082
146,69333
325,238023
470,584571
177,94868
75,19377
