n,t
447,4178
938,8723
428,4481
424,4608
95,834
640,6190
844,10005
329,3762
428,3858
700,7027
252,2645
428,4373
239,2019
916,10679
398,3227
158,1143
546,4595
352,3714
490,5608
147,1283
485,4975
1000,10906
640,6376
424,4914
447,5081
916,10336
44,256
1000,9577
329,2884
65,379
95,634
346,3785
524,4686
546,6481
424,4366
10,49
524,4919
428,4606
329,3384
33,240
920,9046
239,1842
844,10955
147,1232
447,4826
518,6003
447,4034
640,5552
352,4067
65,507
158,1413
518,6168
1000,9759
346,3827
65,527
346,3656
640,5657
938,10824
329,3414
546,5658
300,2306
424,4914
147,1161
44,276
346,3128
758,9135
488,5560
239,1777
252,2106
147,1256
252,2705
490,4472
252,2378
398,3670
524,5793
422,4515
