n,t
585,71
422,58
154,28
17,6
778,72
17,6
812,92
949,99
383,44
20,7
24,11
20,8
10,5
535,56
504,67
912,86
778,90
422,53
949,100
766,92
194,38
912,86
154,27
585,73
585,82
24,11
194,36
245,41
318,56
1000,84
461,54
341,50
699,86
167,38
812,80
197,41
303,45
194,36
778,77
167,33
535,55
318,57
94,23
383,44
912,101
812,84
461,49
350,44
778,87
350,41
20,9
20,9
318,39
350,44
441,67
699,72
895,73
154,32
461,66
17,7
383,57
461,59
812,96
245,46
359,62
105,28
699,80
245,38
154,35
912,90
10,6
105,27
949,74
535,72
341,40
167,26
245,41
194,31
766,83
10,5
24,10
17,8
383,49
