n,t
12,23
10,26
454,746
487,777
752,865
373,476
281,374
429,595
229,408
229,410
543,877
653,780
373,602
12,22
621,1043
774,926
1000,1130
31,62
229,349
938,1450
621,1058
31,51
481,704
161,282
608,915
608,964
12,23
352,474
774,1036
352,524
653,1074
938,1134
738,1156
438,631
774,1092
476,859
12,25
362,494
692,1030
738,848
829,1195
104,189
362,640
10,19
938,1099
362,660
145,204
608,975
752,1073
145,215
395,654
373,493
31,59
653,969
692,879
621,1004
829,1054
543,675
1000,1652
481,727
352,629
738,1249
362,649
829,1009
1000,1190
752,1097
476,616
653,931
10,21
229,443
212,346
104,158
10,25
161,259
281,500
455,774
31,63
395,600
543,750
294,475
294,528
145,206
608,775
145,262
294,406
352,661
774,1049
104,189
