n,t
483,512
424,400
832,968
333,281
424,358
489,541
742,818
489,395
423,390
164,152
449,425
86,55
925,839
228,164
742,650
726,663
86,64
832,914
278,261
483,497
663,557
583,615
449,402
845,755
362,291
423,344
592,543
361,273
424,343
502,408
216,203
449,420
583,599
361,365
278,203
46,34
423,430
449,439
1000,1047
592,568
10,11
391,322
423,468
46,36
924,946
663,582
164,139
333,257
362,263
592,615
726,881
925,1135
465,448
592,473
449,407
228,201
111,97
228,210
1000,1204
583,545
164,126
1000,913
111,98
111,89
333,260
924,1046
391,416
925,817
449,368
483,471
924,1091
86,54
164,128
109,91
1000,1186
43,29
742,888
726,835
216,151
333,273
583,580
465,413
925,1025
228,162
465,386
924,843
362,369
216,198
