n,t
294,5656
10,77
598,13303
1000,29264
93,1241
650,17368
459,10178
381,9784
409,10293
113,2106
897,32050
224,3729
398,7820
409,10322
784,22420
20,190
113,2084
398,10757
10,56
169,2578
50,554
459,12058
650,15726
843,21451
93,1377
563,17540
294,6872
547,13104
180,3505
784,24073
387,9416
472,9520
21,229
468,10763
294,5978
771,23540
478,13934
179,3194
20,161
315,7458
93,1538
771,18817
179,2876
478,10807
897,22837
294,6659
879,29032
300,7611
409,9871
398,10926
1000,32379
224,4231
563,14152
703,23169
224,3907
598,17466
381,7292
897,24890
224,4193
478,14019
843,29807
10,57
843,27451
459,13460
472,10063
771,24058
563,17427
472,11536
650,14428
20,180
180,3208
771,25773
300,7532
409,10713
381,8740
784,19083
381,9201
179,3397
20,178
547,16290
21,164
50,581
300,6872
843,27034
