n,t
418,2599
252,1158
365,2208
400,2167
549,3654
591,3387
193,940
1000,5119
551,2826
666,4399
400,1907
591,3814
418,2066
493,2336
376,1894
336,1767
398,2188
798,5292
549,3400
413,2427
549,2819
253,1152
666,3628
1000,6573
660,3217
398,2124
616,3383
398,1832
549,2786
672,3597
207,1207
672,4572
712,4105
376,2013
240,1194
798,5729
471,2152
365,2216
551,2550
413,2130
395,1957
207,1266
471,3038
616,3632
616,3988
291,1348
666,3214
672,3300
376,2072
376,2087
591,3721
193,1192
591,3807
400,1864
798,5126
240,1300
413,2606
660,4265
413,2604
418,2090
206,896
193,987
454,2513
1000,5374
252,1101
10,46
193,845
252,1138
27,116
712,3953
472,2817
253,1477
291,1506
395,2631
418,2783
398,2569
666,4444
10,54
