n,t
683,944
905,1247
905,1151
1000,1183
880,1008
380,477
883,1166
444,602
619,780
138,220
730,760
138,248
496,661
880,1022
469,664
730,1019
183,287
683,1010
72,151
442,574
883,1136
125,215
444,582
413,673
619,734
281,486
423,504
413,511
570,721
54,90
423,625
125,168
281,407
905,1143
570,722
72,146
730,765
372,528
444,571
138,233
442,577
792,1027
54,113
281,380
54,116
883,1022
94,162
618,884
281,478
177,299
619,841
423,658
469,520
177,319
1000,1071
570,683
10,22
683,907
442,522
380,601
444,676
619,839
905,1138
177,282
468,509
177,231
730,882
157,202
125,236
422,576
683,906
792,1139
183,298
125,230
468,731
822,810
10,22
167,308
1000,1300
