n,t
422,1780
497,1618
833,2740
713,2269
86,280
805,2760
162,505
162,727
129,464
593,1988
12,33
10,26
431,1474
422,1530
21,66
625,2486
833,3451
431,2016
391,1424
484,2116
484,1535
183,598
112,387
379,1328
422,1667
1000,4031
593,2299
65,226
527,1893
217,823
713,2624
625,2702
484,1694
391,1400
680,3081
17,47
10,37
1000,4274
625,2467
631,2325
12,46
129,425
707,2755
200,851
710,3121
713,2861
707,2700
65,269
129,507
12,31
680,2723
379,1347
291,1091
65,219
1000,3835
391,1473
10,26
391,1493
713,2735
112,471
10,32
17,59
86,303
65,269
805,3782
200,641
437,2004
17,69
291,1250
431,1481
593,2564
162,572
437,1675
680,2142
86,322
311,1326
379,1748
484,1774
86,309
