n,t
428,5677
256,3250
448,4838
366,4646
536,8132
493,5408
16,84
94,666
656,7341
94,702
268,2577
656,9590
448,4855
366,3558
536,7713
428,6191
229,1976
885,14022
57,398
696,11175
122,1284
892,15271
31,210
256,2862
378,4134
885,13069
200,1679
16,81
122,1228
885,13116
94,833
122,1016
739,11852
229,2424
94,707
10,63
428,5271
31,169
10,44
739,9914
595,8976
470,6768
1000,17441
370,4637
493,6671
470,6354
122,948
200,1757
57,386
862,12188
151,1519
862,12391
563,8447
151,1214
522,7164
493,5065
656,7239
428,5723
739,10093
522,6412
151,1572
268,3414
172,1972
522,7300
200,2327
739,10381
418,4131
108,790
10,52
378,3988
57,407
151,1650
366,5040
366,4612
892,10385
470,6209
378,4384
268,2689
370,4987
656,9084
16,107
57,440
470,5225
448,6027
522,7963
