n,t
388,277
571,463
571,378
422,292
464,317
153,133
96,88
734,554
256,218
587,364
206,209
323,263
631,463
1000,561
422,326
95,116
153,128
323,288
410,295
451,405
707,573
930,558
734,526
388,357
10,26
370,315
139,170
10,21
537,479
206,221
323,284
537,431
95,126
451,312
495,401
464,372
323,316
342,254
734,508
161,163
930,732
139,123
95,124
206,180
451,408
388,372
75,97
139,149
464,362
1000,620
95,107
453,356
495,432
655,456
908,728
161,177
388,361
930,659
368,296
631,454
153,147
161,171
495,359
537,456
495,394
368,296
734,551
206,223
96,128
10,27
707,554
587,463
598,490
598,409
256,269
371,304
631,482
161,142
451,344
153,169
598,371
370,253
