n,t
331,330
765,631
735,680
107,99
415,327
107,140
83,84
415,454
23,34
305,240
613,464
305,252
1000,702
285,278
459,426
311,355
502,453
374,288
262,303
613,568
311,256
458,341
180,193
311,331
1000,838
939,857
424,395
331,335
262,241
495,407
23,28
285,276
340,339
331,349
1000,646
107,131
459,480
495,482
458,402
731,529
698,657
10,8
180,210
331,374
305,343
69,84
107,118
495,421
26,30
374,395
10,12
765,626
69,86
689,496
84,107
667,510
415,364
698,620
731,567
83,85
415,305
26,35
731,653
667,478
26,38
440,461
26,27
495,372
735,530
83,102
1000,882
583,596
84,114
