n,t
417,55343
624,92699
950,143701
229,17639
441,57334
129,6744
428,57536
240,16885
240,17507
490,67582
10,184
1000,195361
301,25140
229,19367
441,53692
313,30420
476,45595
119,6263
119,7801
26,752
113,5543
1000,174129
72,2811
279,22742
113,6162
740,107251
313,27876
26,597
240,20139
1000,163910
845,138977
183,13647
72,3445
950,147553
113,6829
200,12713
26,618
61,2317
296,25453
745,102032
129,8124
490,53119
748,135047
900,145730
950,156747
417,39611
26,582
428,52752
10,182
61,2652
900,162365
468,47431
301,29074
490,50607
313,31886
755,118229
755,100971
279,23495
428,53984
824,108923
468,51691
72,3355
755,119497
755,135458
313,26682
10,179
845,115598
490,53920
113,7173
428,55086
279,28153
468,58286
301,26124
637,88918
61,2829
637,95223
740,104280
748,92031
624,100105
637,79713
748,134942
624,94170
229,21301
624,91334
745,115863
229,16616
240,22207
950,179107
745,123688
740,134300
