n,t
683,218467
165,21695
775,399673
317,72639
10,84
317,73122
10,91
683,224992
842,413645
775,323752
683,223527
260,35280
889,414897
375,101733
889,432059
21,365
441,120984
515,131679
165,15807
345,61590
302,59865
296,55384
296,64133
676,296927
775,307007
319,56553
447,97849
317,57143
155,13871
812,423420
130,10031
165,21168
375,75856
1000,480927
328,75846
94,6726
453,109996
296,47674
842,407796
328,73636
145,14251
94,6166
319,54268
561,160346
515,135476
245,44034
375,88308
1000,500916
145,13532
345,63756
683,218870
227,28374
874,459979
874,471952
260,43500
812,409666
345,82697
319,63103
145,12307
94,6082
453,139245
1000,569872
888,517885
375,79805
775,307556
177,19806
245,41056
812,423365
10,64
345,61624
260,46231
319,61431
812,412437
177,25140
296,57490
177,22033
10,93
