n,t
285,1790
285,1741
281,2055
616,4505
252,1611
395,2619
201,1140
351,2691
10,21
835,8580
417,2548
62,268
563,3953
563,5390
62,233
713,5501
756,7883
370,2753
10,26
253,1797
370,2842
10,19
62,213
713,5315
58,259
305,1982
370,3159
835,6723
155,748
281,1941
616,5756
765,7918
11,24
62,275
40,150
1000,11555
908,8800
414,2668
557,4984
765,7760
310,1954
765,8224
414,3098
252,1574
616,4437
285,2204
351,2885
858,8749
225,1182
563,4693
713,5751
835,9255
286,1883
616,4362
253,1740
395,2548
414,3651
395,3399
585,4607
585,5303
858,9671
286,2187
557,3895
756,7977
1000,9989
835,8006
310,2136
713,7139
858,9211
310,1744
155,981
103,440
201,954
201,1099
40,117
908,8975
201,1281
310,2110
756,8047
103,478
58,261
286,1662
286,1503
