n,t
783,14515
237,2765
122,1057
526,8911
299,3636
259,2680
153,1567
259,3088
359,5256
57,482
769,14719
57,407
236,2274
526,8040
111,1003
739,11893
119,1397
473,6817
539,9462
236,2405
313,3594
929,15147
70,666
57,559
327,4482
312,4581
604,9295
783,13515
17,119
929,17881
237,2591
739,10910
539,8366
701,9726
873,13733
445,6138
153,1341
17,90
70,600
299,3749
299,4113
1000,19281
122,1297
236,2678
17,119
59,452
122,1275
604,8952
10,49
17,83
359,4075
266,3227
445,6475
313,3270
1000,18980
70,704
1000,17754
10,53
739,13849
526,6430
701,12462
266,3034
266,3682
415,5478
929,15148
236,2815
359,4907
769,11790
630,11368
122,1323
701,13156
1000,17757
266,3070
473,7075
153,1373
739,9877
327,4865
119,1154
237,3147
111,1082
604,8056
119,1116
604,8613
783,13894
313,4549
630,8381
237,2816
119,1181
327,3592
415,5497
327,3786
526,8457
630,11055
