n,t
547,24109
407,13348
266,7289
266,7297
217,6257
522,17044
522,18266
129,3297
859,40846
36,503
159,3688
1000,51856
889,38889
889,36256
217,6835
98,2169
781,34627
265,8488
10,127
224,6737
485,21260
485,18636
36,586
94,1970
921,41319
98,2361
252,7275
407,13756
452,16145
560,19212
94,1969
129,3872
107,2603
98,1872
265,8693
19,262
265,6978
889,46075
407,17042
889,34946
159,4607
399,16037
401,17430
252,6690
266,7128
627,22542
1000,51361
145,3745
513,24198
10,100
36,670
452,17976
129,2690
265,9547
401,13049
468,17445
19,285
547,24644
468,14903
19,248
547,22624
781,31954
781,41376
145,3611
94,2080
98,1875
19,233
407,15181
693,34355
781,37595
485,17553
224,5790
401,12645
94,2319
36,617
1000,59715
108,2223
