n,t
853,13021
399,5475
1000,16922
734,10395
51,555
52,617
389,5377
427,5430
60,596
134,1485
152,1794
13,107
762,11409
734,12341
334,4508
109,1083
60,726
448,6095
13,102
756,12660
448,7736
630,10660
427,7010
336,4834
630,11829
854,17401
504,6357
756,15096
336,4927
853,13894
336,4670
389,5996
489,9147
152,2245
123,1489
60,712
1000,18113
756,10443
99,1342
334,3902
303,3569
399,5446
197,2408
303,4331
99,1192
10,81
152,1539
762,12582
936,13658
336,5327
192,2401
334,4725
170,2402
817,11799
10,90
873,16985
1000,18026
123,1336
1000,19028
13,92
99,920
489,7433
123,1242
489,6564
427,6202
10,80
853,12449
197,3099
756,12468
427,7619
192,2916
303,3938
134,1658
197,2908
303,4871
873,12753
197,2256
123,1577
854,14011
399,6021
817,12362
630,12333
504,6585
817,13893
10,83
630,8999
504,6873
170,2119
853,14005
504,7988
