n,t
765,2672
172,533
33,94
697,2828
697,1981
334,1034
408,1165
691,2567
441,1214
33,72
691,2135
64,189
331,933
441,1596
172,446
418,1685
483,1969
727,2158
17,31
1000,3174
285,850
483,1346
765,2422
483,1910
64,203
483,1337
764,2575
716,3003
334,1217
258,713
194,598
441,1261
727,2918
400,1259
764,2395
33,90
725,2818
39,85
194,585
473,1659
938,2976
697,2792
725,2425
331,1287
418,1470
181,587
414,1336
64,160
418,1651
33,86
10,20
733,2636
765,3067
414,1208
697,2558
172,462
418,1515
414,1605
172,613
938,3704
1000,4162
764,2366
331,1027
64,199
856,2556
1000,4304
181,570
473,1651
473,1319
478,1899
1000,3335
334,1123
691,2815
258,894
725,2441
441,1672
716,2045
285,808
716,2687
285,1095
258,911
39,98
194,645
415,1325
856,3199
725,2459
