n,t
219,119
785,378
88,45
602,339
704,365
392,216
800,414
812,381
812,364
197,114
219,107
201,117
19,18
850,409
201,102
181,110
25,22
249,118
19,16
244,125
760,429
785,424
850,390
848,471
244,151
219,134
704,328
848,337
120,74
88,56
392,214
847,406
848,332
602,342
602,304
249,141
1000,407
113,61
785,436
197,114
201,108
120,71
785,384
19,15
413,187
760,343
760,336
812,406
878,491
413,199
847,424
760,397
10,10
244,139
850,449
878,407
800,394
413,247
199,111
249,112
344,189
181,94
704,294
181,93
120,65
113,58
189,115
352,180
47,29
19,19
350,188
313,138
352,180
344,197
344,148
704,328
113,55
