n,t
371,39
155,28
1000,85
878,75
525,53
156,28
445,44
447,46
119,26
326,42
560,51
414,49
483,59
326,48
364,46
1000,94
884,97
235,38
10,3
1000,93
445,48
447,51
884,83
445,65
525,65
447,51
525,49
118,27
447,60
878,75
414,42
500,70
483,51
1000,71
560,50
405,43
372,57
878,96
457,66
414,61
405,54
749,66
884,82
457,66
119,28
417,56
364,52
116,24
820,86
535,50
270,46
457,58
866,69
405,52
417,49
270,36
405,46
445,49
155,32
457,61
838,88
326,49
560,73
500,57
116,28
535,64
59,17
773,81
884,67
59,18
326,38
116,24
155,31
500,54
417,48
10,3
371,55
