n,t
206,1805
388,5491
332,5001
691,9152
575,7901
829,14490
194,1965
612,11252
258,2493
827,14165
38,206
535,8053
163,1723
535,8238
229,2359
427,6913
383,5496
691,12301
206,1984
759,10276
206,2043
667,11294
38,208
38,229
10,36
427,6564
10,43
612,10606
76,637
399,6031
237,2792
612,8901
332,3812
245,3057
383,4988
76,551
38,273
332,4265
667,8895
443,6620
612,8593
160,1516
889,15331
388,6064
691,12947
575,8984
399,5836
10,39
390,6162
443,5062
383,4600
160,1523
156,1837
237,2324
329,4705
160,1749
160,1480
76,706
194,1674
388,5472
427,5086
1000,16806
332,4735
535,8371
675,12391
194,1881
483,5763
427,6980
889,17697
206,2157
156,1523
