n,t
685,129138
52,2306
52,2003
56,2799
300,34670
493,90694
42,1659
56,2462
644,150783
518,89962
644,148456
295,37139
438,67730
69,3579
28,1025
42,1924
881,172464
293,36638
844,218683
398,55124
899,204996
69,4087
899,251007
10,187
187,19034
122,10309
293,40144
398,50446
182,19287
166,13849
644,134814
520,91162
364,43405
295,34982
122,9347
69,3552
399,59556
364,42335
300,38612
916,243326
660,127864
438,80880
122,7376
685,160026
899,228680
300,32967
916,232348
916,176509
166,12489
660,147945
52,2034
187,17859
660,149093
644,104271
398,65408
28,1046
69,4293
342,42729
518,73571
342,46884
881,193676
42,1648
141,11555
191,20061
1000,265297
122,8768
685,140408
563,110001
493,82082
187,18087
10,154
398,52378
295,31978
28,892
10,175
520,75159
56,2629
518,84998
660,142182
28,873
10,187
293,41000
56,2141
