n,t
249,72615
789,507296
350,125666
25,682
920,861645
455,250711
496,217846
252,78141
252,58870
496,295881
869,776356
869,648182
264,70568
411,142502
909,812111
909,936699
735,621328
10,166
264,85501
182,35361
92,10131
188,38135
365,165287
182,36803
251,63330
76,7864
25,839
92,10699
249,64299
249,68392
92,9933
410,180226
192,35469
182,37778
496,239746
261,67647
251,76991
28,844
25,649
455,214090
261,68759
81,7978
687,552078
81,8116
869,736180
455,197418
735,571020
687,414800
411,166158
455,179137
188,43828
496,277214
869,798095
251,77211
735,528393
60,4940
252,68591
920,711406
261,82604
706,436436
251,58299
350,149099
713,531100
599,397797
687,494619
1000,966493
755,490001
920,892631
264,86652
755,552972
252,73398
410,196297
706,411623
411,146020
410,197869
735,495760
25,803
713,550787
10,124
410,146535
10,164
706,532416
261,60448
599,380937
28,1045
909,752581
789,688803
