n,t
96,2356
265,9797
265,10594
32,576
300,15721
892,55003
65,1783
86,2302
538,27614
48,944
859,52766
86,1909
48,912
538,30979
169,5230
284,11250
744,41032
397,15891
408,17824
89,2301
538,27857
286,10422
352,14666
205,7756
1000,68689
1000,63922
126,3337
859,57210
169,5331
284,12395
892,51002
254,10911
286,12032
139,4047
169,5772
265,9840
801,47762
300,14618
126,4475
744,38068
927,72220
48,1067
859,54856
265,13250
126,4700
829,54288
538,24822
193,7767
408,19285
65,1907
408,22761
86,2812
397,16003
1000,69396
950,71904
300,13702
686,44722
48,1181
859,50496
32,645
397,21923
193,8381
10,116
839,45567
950,55345
10,116
1000,71148
126,4364
352,16875
193,7700
286,10179
89,2041
455,26612
169,5790
927,71174
193,6117
65,1462
839,44404
32,539
408,23840
32,678
950,66312
352,18991
286,12574
284,10492
