n,t
807,1799911
64,13420
654,1340860
251,169330
778,1758167
675,1558959
807,1963154
854,1918031
1000,3133279
732,1419176
512,743247
290,222896
807,1698493
654,1283154
225,160769
446,665613
163,92759
125,49150
512,736639
38,4814
84,23569
778,1903834
228,185107
387,479439
477,591876
38,6177
654,1068759
362,480138
10,548
654,1433707
10,511
290,305246
494,869531
410,546556
446,617211
228,171583
163,111665
450,716541
446,578860
326,286673
494,736455
410,471578
446,685078
497,686391
807,1786116
326,377606
497,784029
84,27430
504,688733
225,202397
220,134729
504,649025
220,181680
295,271895
1000,3107830
125,52098
732,1868882
387,524991
38,5796
64,18050
10,563
410,589089
512,859858
225,176048
732,1684510
497,743597
290,313732
494,636664
362,373238
387,405815
10,414
504,910083
512,878249
765,1946089
163,103501
251,246995
504,913302
38,4981
950,2554642
