n,t
565,8961
631,10133
234,2918
70,659
433,8234
70,567
569,10180
569,11052
273,3817
345,5318
484,6823
384,6789
10,26
10,33
433,7164
273,3175
232,2634
521,7743
275,3505
87,909
631,10719
232,2788
384,6386
367,6367
659,13269
384,6247
491,8674
506,9512
273,4054
441,7102
441,7509
246,3626
234,3468
345,5323
565,9145
246,3685
87,784
441,6759
232,2735
484,8524
484,8335
441,6857
631,10282
491,7807
1000,21455
37,240
484,8504
754,15011
569,8544
70,667
240,2935
930,17596
484,7843
930,23236
70,474
930,21598
246,2770
631,13021
484,8085
87,791
10,28
10,32
246,3041
108,821
273,4108
232,2432
733,15516
37,214
264,4112
240,2469
367,5758
702,15502
264,3911
930,16815
234,2622
569,8502
87,767
506,8319
565,11366
