n,t
224,37684
271,53491
359,97421
847,404010
1000,557298
370,95914
359,95397
339,92267
314,65353
641,210850
271,56727
190,27000
319,60935
303,62411
798,317968
359,96793
208,34393
580,204162
303,52195
1000,530212
190,32456
355,70550
314,70167
406,99797
10,203
224,44900
270,53304
270,58815
730,272800
355,87449
406,101142
796,383026
847,304959
315,64857
580,230861
568,185214
370,94603
339,69900
224,34321
847,330354
785,356439
22,757
303,70278
730,297720
730,300518
314,56650
224,36968
359,87264
315,58805
51,2739
314,55047
525,176268
349,89400
525,173085
315,66538
641,274973
798,303108
374,88964
701,239525
89,7913
568,179397
355,77419
1000,496549
580,198831
51,3142
785,286459
22,727
406,86487
10,185
730,267400
89,8055
370,94425
478,134970
796,374593
641,215340
701,275868
271,49447
406,117671
701,264347
355,98508
