n,t
749,188739
264,28035
173,14223
629,131048
89,4947
1000,328368
452,70032
414,68951
386,47576
890,228280
509,76413
264,25439
414,57612
629,154075
735,136198
310,31188
386,54718
735,143311
390,53646
36,1107
629,138676
878,225629
753,188956
720,179135
386,57647
390,54326
85,4597
543,103222
231,22659
509,84506
735,180912
390,47661
310,45397
386,50363
509,73681
452,68181
173,14360
265,24733
878,261965
14,226
310,41134
227,23327
265,34457
334,44685
1000,290971
231,24813
35,943
753,166774
85,4811
390,58343
483,83020
231,27578
753,208451
749,156047
452,71830
10,96
629,111334
652,162579
310,39492
10,98
543,80510
749,146951
265,35070
452,68997
735,144584
543,104029
509,93335
10,101
543,100492
14,209
753,152758
334,49590
131,10134
85,4730
414,57496
878,239885
386,49218
878,249854
483,72672
227,24909
1000,308478
890,273807
264,26606
10,90
409,50312
720,171989
89,3804
