n,t
701,108310
355,30806
360,33309
474,59349
1000,159157
289,21296
1000,183799
136,8636
10,115
194,14419
239,17096
350,29248
360,26974
739,86446
592,72592
934,120857
474,44732
592,69349
457,46724
116,4868
506,50603
239,16728
10,113
739,111782
125,5250
136,6576
355,36620
882,124994
379,36997
829,113946
360,38949
125,7165
62,2059
239,17430
37,1171
506,53217
116,6852
289,21154
340,26857
456,44085
739,94664
701,82768
50,1322
37,1080
27,505
456,43967
731,98717
457,54701
355,35197
829,102863
506,54602
474,45970
1000,184577
66,2635
638,90263
289,24899
456,49745
701,94153
497,47500
379,38827
474,43001
62,2257
340,34420
740,115767
66,2547
116,5750
934,160615
289,19342
934,125856
739,94433
457,52335
934,129961
731,103561
379,38031
10,135
379,37585
136,5905
829,95517
497,62182
27,662
731,88706
882,140726
882,116126
456,42165
239,19581
497,47868
882,128931
66,2016
360,26590
10,142
